review_text,age_range
10 out of 10 would recommend. this mist feels amazing. its so fine and give a nice finish. plus sun protection. its a win win.  i won't set makeup. but it makes it look so smooth . i even wear it alone .,1
$14 for a pump...funny....Yes it must made in China and the cost may even under $1. why they dont just produce foundation with pump together? Because they cant make more money. Now you buy the foundation and you have to spend $14 to buy a pump!,1
"1- this product makes no promise about moisture. it does not hydrate you. \n2- it takes a while before you can see the difference. be patient.\n3- this product is not meant for young skin. not sure why it became so popular amongst teenagers/young adults to use??? it's not cheap, how are y'all affording this...\n\nI've been repurchasing SKII essence for years and it honestly makes my skin glow.  not sold on how effective it is on shrinking pores...but I've stopped using it here and there for several months at a time and my ski. just doesnt look as... nice. it is rather hard to describe just how it makes my skin look better, but it really does. I have purchased a much cheaper ""dupe"" from cosrx and if it works my wallet will be very happy. if it doesnt, I will return to my tried and true SKII.",4
"1 week of use and breakouts on my mature, combo skin.  And I didn't like it under makeup. My makeup didn't last past 2 hours and was seperating and sliding right off. I tried it with 2 different foundations that I've used for years. The scent reminds me of cleaning products.",3
"27 Rose Revelateur is balm-like with a sheen and somewhat sheer appearance. This is more like a bright pink. The mabling is very fun, but it can be a little tricky. When the purpley marbling hits your lips it leaves that spot a bit darker than the rest of your lips but not enough to marble all of you lips. The Interdit formula glides on, not heavy at all. I layered this with N315 Le Rouge and the two lasted three to four hours before I ate.",3
"2 Full sized products for less than the price of 1 full size item! What a deal! The gimme brow gel is perfect for days that you want to effortlessly have quick brows that look good. It applies easily and gives a naturally filled look to sparce brows. This mascara is great for adding natural looking length and thickness; basically your lashes, but better. I love these products because with a little gloss, and a bb cream or tinted moisturizer, you can literally walk out the door with the no make-up, make-up look.",2
"2 Years after I first used it, and yet still No results?! I questioned whether if I had been doing it correctly however I Even Called Nuface and spoke to a Rep.  I was doing it correctly, so when I read other reviews I honestly question them! Also anyone under 30 still has the elasticity within their skin cells to be able to bounce back and regenerate a more smoother appearance.  However, also within their reviews No One Ever Talks about the Metal Taste which comes about within your mouth when using this machine!? Even with their gel, I still had a Aweful Metallic taste come about within my mouth as I would swipe the machine up my cheek.  It's the Strangest thing Ever. I'm saving my cash on Surgery Now!!!",3
"3.2 oz/90 ml. Full sized? When sold separately, full sized is 3.4 oz/100 ml. Where did the 10 ml go?\nRated low for ""creativity"". On package, it  states product is full sized! Otherwise, great product.",4
"400 is so far my favorite red. My other preferred reds include Tom Ford Ruby Rush & Dior 999.\n\nwhy I love it\n1)at full opacity, it's a blue red, with very smooth application. it is not matte, not shiny, it has just the right amount of velvet and life.\n2)it fades evenly to a dark pink.\n3) it amazes me how well Armani is able to match THE RED aka 400 to the red on the package.\n4)  it shows differently on me and my daughters and complements all.\n\nwhy I dislike it sometimes\nalthough beautiful, it is extremely transferrable to all things.",1
"4 stars because like majority of brow pencils there's never enough product for the price. However I do really like this pencil. I used to use Anastasia Beverly Hills dip brow in Auburn and that was the closest color I could get to match me.(the match wasn't that great). I really wanted to try a brow pencil again and decided to go with this. I tried auburn first, it was a close match but not enough. I then ordered the dark auburn and oh my God I couldn't get over it I finally found a match for my eyebrows!! I have super dark red/auburn hair! it looks brown but in daylight and certain lighting you see the reddish hues. my eyebrows are all different shades of brown and red! \n\ni do my brows everyday so I dont think the price is worth it.\ndont let the 'fine tip' description fool you. It is pretty much average size as any retractable brow pencil. \n\nI like that I found a color to match me which is super hard.\nthe brush at the end I really like as well it is easier to blend than a spooly brush.\nI found that my brows lasted all day.\nthe consistency I really like too. I personally felt I was able to create a more gradient look versus using a dip brow. like I had more control over it versus using an angled brow brush. I haven't had any issues with breakage but I also use a very light touch when applying.\n\nI hope to see this in the future as a dip brow! \n\nI would only reccomend this product to struggling red heads like me.",1
"520 is a super super hydrating sheer lipstick. It has a beautiful shine, and will be a different pink for everyone. For me it's a beautiful natural light pink on my very pale skin. This is my favorite every day lip product. Works great over matte lipsticks too if you want one shine and hydration.\nThe only downside, because it is so emoliant the lipstick can break easily. So be gentle when applying and do not over extend it.",4
"5 star formula but the shade is way off. This was not rosy brown at all. It pulled like muted orange on my medium skin tone. Such a bummer because the formula is super nice. It's not a gloss, more like a satin lipstick. It feels really comfortable and smells sweet but has an almost minty vibe too. I looking forward to more shades and maybe I can grab a color that is right for me.",1
"5 star! I have very sensitive skin. I have frequent breakouts or reactions from a variety of product due to my medications. I had 0 negative reactions. It made my skin look, feel and smell amazing. I received this product complimentary from influenster and I'm so glad I did. It will be my go to moving forward, even for the price. It works!!!",4
5 stars!!!  This eyeliner is a bit darker then pictured. It's highly pigmented and lasts forever. It is the only liner I've used that doesn't transfer.   I highly recommend this Forest green color.  I'm getting all colors.,4
A bit hard to do taco fold because memory foam is so thick. Exterior fabric is nice and smooth although it really is a very large powder puff. I feel as I may be waisting a lot of expensive powder with such a large puff. But I must say that when finished it really sets make-up well and is comfortable to press powder into face.,3
"A bit harsh for my skin. Was trying to find a substitute for Colleen Rothschild's Mandelic Acid Serum (Mandelic Acid, lactic acid, salicylic acid) that costs $75. This works but I still like the CR better. Guess there's a reason it costs $75.",3
"A bit intimidating in the bottle. It is blood red and has a thick consistency.  It looks like you smashed berries all over your face. Has no noticeable smell. The tingle is real but not uncomfortable at all. My face breaks out every month. I used this product as directed , ON DRY SKIN! It significantly helped with the current breakout. For the money it is worth it . So happy to have found a good product that is also not terribly priced! For a small bottle I know it will get lots of uses. A bit of this product goes a long,long way. I will definitely be using this product at least once per week.",2
"About 2 years ago I began to do my own nails. The price for gel/dip is ridiculous where I live and I could not find a manicurist that made it worth the price. So I went ahead and invested in great tools and products. I have tried various top coats by Deborah Lippman, INC Nails, Essie, etc. I can confidently say this is THE BEST. The others I feel no matter how long I waited to dry I would always wake up to see less of a glossy appearance and there would always be imprints/marks. I let my layers dry between each coat and really take every step for a professional manicured appearance, so that was frustrating to always have the top coat not perfect. Finally, a top coat that not only was good to go after only 20 minutes (I was afraid to wait any less) but I woke up today and they still look PERFECT. Truly like I went to the nail salon.",1
"about this. On one hand, I really like that it was made to apply with your fingers. Why it always shows brush application on Roen's website, I have no idea. Maybe to sell their brush. The purpleish color is a cream based product, while the others are powder. Can't find any explanation for that either. The colors are pretty and the purplish one is the one I end up using the most. The downside, at least for me, is these are super glittery. Not shimmer, not slightly glimmery, but chunky glitter that can migrate to different parts of your eyes and onto your face. They do look really pretty on and I have found they actually look better as they wear. I have also found they look better over a cream shadow, either shimmer or matte. They would probably look good over a powder shadow, but I haven't tried it as I have been using all products that can be applied with fingers lately. They don't seem to go on very nicely over bare lids or lids prepped with primer. It is hard to get an even application yet over another shadow, it seems to glide on. The glitter seems to migrate less when it is used over a cream shadow as well.  I do  make sure I do eyes first when using this in case I need to wipe off some errant glitter. I bought this during the sale, so I am happy about that. I would recommend it only if you know exactly what you are buying and I am not sure you get an accurate description here or on the Roen website. I do plan on continuing to use it.",3
"Absolutely amazing foundation. I have extremely oily skin, most foundations slide off or look terrible by the end of the day. this foundation looked like skin, light coverage and beautiful all day. Can never live without this foundation.",4
